date,time_entry,time_exit,entry_time,hold_seconds,symbol,strategy,direction,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,notes
2026-08-11,13:45:24,01:43:23,2026-08-10T13:45:24.529759+00:00,43079.0,USO,supertrend,long,122.8,126.47,26.927166,98.82,2.989,tp,
2026-08-11,02:30:07,02:32:14,2026-08-11T02:30:07.812098+00:00,126.2,BTC/USD,supertrend,long,63972.925,64015.098,0.05178,2.18,0.066,sl,
2026-08-11,03:01:15,03:03:21,2026-08-11T03:01:15.946008+00:00,125.5,DOGE/USD,breakout_momentum,long,0.070089,0.070256,47254.069826,7.89,0.238,sl,
2026-08-11,13:56:03,08:09:52,2026-08-10T13:56:03.675626+00:00,65628.5,XLE,breakout_momentum,long,59.15,60.42,55.862899,70.95,2.147,tp,
2026-08-11,08:46:14,08:48:20,2026-08-11T08:46:14.959320+00:00,125.5,DOGE/USD,supertrend,long,0.070229,0.070256,47184.981461,1.26,0.038,sl,
2026-08-11,10:01:02,10:03:08,2026-08-11T10:01:02.902725+00:00,125.4,BCH/USD,supertrend,long,214.635,215.4,15.439821,11.81,0.356,sl,
2026-08-11,11:44:01,11:46:08,2026-08-11T11:44:01.264426+00:00,127.0,SOL/USD,breakout_momentum,long,76.0805,76.2652,43.477172,8.03,0.243,sl,
2026-08-11,13:45:10,13:45:28,2026-08-10T13:45:10.219017+00:00,86418.8,MSFT,breakout_momentum,long,505.24,501.975,6.544723,-21.37,-0.646,time_limit,
2026-08-11,13:45:13,13:45:29,2026-08-10T13:45:13.635030+00:00,86415.4,CRM,breakout_momentum,long,193.96,196.73,17.048134,47.22,1.428,time_limit,
2026-08-11,13:45:17,13:45:29,2026-08-10T13:45:17.672002+00:00,86411.5,UBER,breakout_momentum,long,77.5,77.9,42.666529,17.07,0.516,time_limit,
2026-08-11,13:45:18,14:08:29,2026-08-11T13:45:18.111868+00:00,1391.2,WMT,breakout_momentum,long,113.08,112.38,29.247497,-20.47,-0.619,sl,
2026-08-11,13:45:21,14:12:05,2026-08-11T13:45:21.659469+00:00,1603.6,TLT,supertrend,long,82.39,82.255,40.142092,-5.42,-0.164,sl,
2026-08-11,13:51:24,14:20:29,2026-08-11T13:51:24.504959+00:00,1745.1,GOOGL,breakout_momentum,short,349.59,352.2599,9,-24.03,-0.764,sl,
2026-08-11,15:00:01,15:07:34,2026-08-11T15:00:01.634641+00:00,452.8,SOFI,breakout_momentum,long,18.37,18.16,179.885765,-37.78,-1.143,sl,
2026-08-11,15:11:10,15:13:34,2026-08-11T15:11:10.197645+00:00,144.7,AVAX/USD,supertrend,long,6.20905,6.21493,531.590581,3.13,0.095,sl,
2026-08-11,14:43:09,15:44:43,2026-08-11T14:43:09.938309+00:00,3693.8,CRM,breakout_momentum,long,199.22,197.22,16.588879,-33.18,-1.004,sl,
2026-08-11,16:09:12,16:10:02,2026-08-10T16:09:12.323121+00:00,86449.9,NFLX,breakout_momentum,long,75.64,75.295,43.839615,-15.12,-0.456,time_limit,
2026-08-11,14:07:06,16:22:04,2026-08-11T14:07:06.127019+00:00,8098.0,TSLA,breakout_momentum,long,335.04,331.88,9.868195,-31.18,-0.943,sl,
2026-08-11,14:07:06,19:01:28,2026-08-11T14:07:06.588767+00:00,17662.4,META,breakout_momentum,long,608.27,602.0,5.435481,-34.08,-1.031,sl,
2026-08-12,15:41:04,01:12:39,2026-08-11T15:41:04.740422+00:00,34295.1,GLD,supertrend,short,401.08,402.75,8,-13.36,-0.416,sl,
2026-08-12,01:22:01,01:24:06,2026-08-12T01:22:01.150185+00:00,125.3,LINK/USD,breakout_momentum,long,8.772795,8.78516,375.842363,4.65,0.141,tp,
2026-08-12,01:25:12,01:27:18,2026-08-12T01:25:12.454303+00:00,125.6,LINK/USD,breakout_momentum,long,8.778,8.78516,375.475279,2.69,0.082,tp,
2026-08-12,01:29:22,01:31:28,2026-08-12T01:29:22.052731+00:00,126.1,LINK/USD,breakout_momentum,long,8.767,8.758,375.775351,-3.38,-0.103,tp,
2026-08-12,01:30:25,01:32:30,2026-08-12T01:30:25.188522+00:00,125.3,AVAX/USD,breakout_momentum,long,6.28862,6.3062,523.857301,9.21,0.28,sl,
2026-08-12,14:54:06,03:19:31,2026-08-11T14:54:06.183938+00:00,44725.3,USO,supertrend,long,126.28,128.5,26.17266,58.1,1.758,tp,
2026-08-12,10:39:01,10:41:07,2026-08-12T10:39:01.756253+00:00,125.3,LINK/USD,supertrend,long,8.8179,8.8549,372.788703,13.79,0.42,tp,
2026-08-12,10:42:08,10:44:14,2026-08-12T10:42:08.643581+00:00,125.4,LINK/USD,supertrend,long,8.85245,8.8549,371.256601,0.91,0.028,tp,
2026-08-12,12:30:11,12:32:17,2026-08-12T12:30:11.416616+00:00,125.9,ETH/USD,supertrend,long,1920.3515,1910.7,1.712328,-16.53,-0.503,tp,
2026-08-12,12:33:18,12:35:24,2026-08-12T12:33:18.375704+00:00,126.0,ETH/USD,supertrend,long,1911.852,1910.7,1.71913,-1.98,-0.06,tp,
2026-08-12,12:36:25,12:38:31,2026-08-12T12:36:25.371556+00:00,125.8,ETH/USD,supertrend,long,1909.4475,1909.097,1.720818,-0.6,-0.018,tp,
2026-08-12,13:18:00,13:20:06,2026-08-12T13:18:00.366599+00:00,125.7,DOGE/USD,supertrend,long,0.071314,0.071558,46009.388058,11.23,0.342,tp,
2026-08-12,16:29:00,13:23:13,2026-08-11T16:29:00.689187+00:00,75252.6,AMZN,breakout_momentum,short,271.67,273.775,12,-25.26,-0.775,sl,
2026-08-12,13:22:09,13:24:15,2026-08-12T13:22:09.850715+00:00,126.0,DOGE/USD,supertrend,long,0.071205,0.071558,46053.805173,16.25,0.496,tp,
2026-08-12,13:25:17,13:27:22,2026-08-12T13:25:17.253014+00:00,125.7,DOGE/USD,supertrend,long,0.071218,0.071558,46033.038182,15.67,0.478,tp,
2026-08-12,13:28:29,13:30:53,2026-08-12T13:28:29.166971+00:00,144.1,DOGE/USD,supertrend,long,0.070908,0.071558,46215.77808,30.02,0.916,tp,
2026-08-12,13:32:09,13:34:38,2026-08-12T13:32:09.258440+00:00,149.1,LINK/USD,breakout_momentum,long,8.78745,8.853,373.035181,24.45,0.746,tp,
2026-08-12,13:37:10,13:39:40,2026-08-12T13:37:10.015916+00:00,150.2,LINK/USD,breakout_momentum,long,8.79389,8.853,372.601829,22.02,0.672,tp,
2026-08-12,13:42:08,13:44:35,2026-08-12T13:42:08.109295+00:00,147.8,LINK/USD,breakout_momentum,long,8.798695,8.853,372.135072,20.21,0.617,tp,
2026-08-12,13:45:19,13:46:09,2026-08-11T13:45:19.339327+00:00,86450.5,IWM,breakout_momentum,long,301.155,302.15,10.982076,10.93,0.33,time_limit,
2026-08-12,13:45:22,13:46:09,2026-08-11T13:45:22.514334+00:00,86447.4,XLE,breakout_momentum,long,60.35,60.7101,54.802104,19.73,0.597,time_limit,
2026-08-12,17:08:19,13:55:48,2026-08-11T17:08:19.677409+00:00,74849.2,XLY,supertrend,short,119.22,118.25,27,26.19,0.814,tp,
2026-08-12,17:08:14,14:04:22,2026-08-11T17:08:14.173503+00:00,75368.8,GOOGL,breakout_momentum,short,347.34,341.76,9,50.22,1.606,tp,
2026-08-12,12:54:06,14:08:02,2026-08-12T12:54:06.968775+00:00,4435.9,BCH/USD,supertrend,long,215.825,212.651,15.213062,-48.29,-1.471,sl,
2026-08-12,14:16:28,14:18:56,2026-08-12T14:16:28.371902+00:00,148.2,LINK/USD,breakout_momentum,long,8.76165,8.80133,373.786216,14.83,0.453,tp,
2026-08-12,14:20:08,14:22:36,2026-08-12T14:20:08.944590+00:00,147.7,LINK/USD,breakout_momentum,long,8.760125,8.80133,373.48354,15.39,0.47,tp,
2026-08-12,14:26:13,14:28:41,2026-08-12T14:26:13.090797+00:00,148.6,LINK/USD,breakout_momentum,long,8.7373,8.80133,374.31203,23.97,0.733,tp,
